Original Text,Translated Text
Tesla zakt op Wall Street na aankondiging nieuwe Twitter-topvrouw,Tesla drops on Wall Street after announcement new Twitter top lady
Officieel: Elon Musk stelt nieuwe CEO van Twitter aan,Officially: Elon Musk appoints new CEO of Twitter
Gokbedrijf Napoleon vecht verbod op gokreclame aan,Gambling company Napoleon fights ban on gambling advertising
Elon Musk heeft nieuwe CEO voor Twitter gevonden: “Ze start over zes weken”,"Elon Musk has found new CEO for Twitter: ""She'll start in six weeks."""
"Supermarkten maakten de voorbije weken reclame met prijsverlagingen, maar ze maakten producten net duurder","Supermarkets have been advertising with price reductions over the past few weeks, but they have made products just more expensive."
Philips schikt in VS voor 62 miljoen dollar wegens vermeende corruptie in China,Philips pays $62 million in US for alleged corruption in China
Taiwanese ProLogium investeert miljarden in batterijfabriek in Duinkerke,Taiwan ProLogium invests billions in battery factory in Dunkirk
Onderzoek naar Apple in Italië voor misbruik van dominante positie op app-markt,Study of Apple in Italy for abuse of dominant position in app market
Boete voor ex-minister Labille voor verspreiden voorkennis in postfusie,Fine for ex-Minister Labille for spreading prior knowledge in post-fusion
IMF vreest “ernstige gevolgen” van impasse rond schuldplafond in VS,IMF fears serious consequences of deadlock around US debt ceiling
Moet België een ‘anti-inflatiepakket’ met goedkope levensmiddelen invoeren? “Makkelijker gezegd dan gedaan”,"Should Belgium introduce a low-cost food anti-inflation package? ""Easier said than done"""
Adidas hint op verkoop van berg Yeezy-materiaal na breuk met Kanye West,Adidas hint on selling mountain Yeezy material after breaking up with Kanye West
Leningen voor zonnepanelen en warmtepompen pieken,Loans for solar panels and heat pumps peaks
Vrees voor tekort aan ingrediënt voor snoep en frisdrank: “Nog geen alternatief”,Fear of shortage of ingredient for sweets and soft drinks:... No alternative............................................................................................................................................
Walt Disney ziet winst en omzet toenemen in tweede kwartaal,Walt Disney sees profits and revenue increase in second quarter
"Monsterwinsten voor chocoladefabrikanten terwijl cacaoboeren minder verdienen, stelt Oxfam","Sample profits for chocolate manufacturers while cocoa farmers earn less, says Oxfam"
President Biden: “Republikeinen gijzelen Amerikaanse economie” met discussie over schuldplafond,President Biden: Republicans hold US economy hostage with discussion on debt ceiling
Inflatie in Verenigde Staten zakt onder de 5 procent,Inflation in the United States is below 5%
Mediahuis koopt immowebsite van IPM over,Mediahuis buys immo website from IPM
"“Bpost zal hier sterker uitkomen”: voorzitter Audrey Hanard optimistisch na schandalen, aandeelhouders reageren gelaten","President Audrey Hanard, optimistic after scandals, left shareholders to react."
Air New Zealand installeert stapelbedden in vliegtuigen,Air New Zealand installs bunk beds in aircraft
Ahold Delhaize krijgt 382 miljoen terug van fiscus,Ahold Delhaize gets 382 million back from IRS
TUI-reis gemiddeld ruim kwart duurder dan voor corona,TUI journey on average more than a quarter more expensive than for corona
Ondanks stakingen: omzet Ahold Delhaize gestegen in eerste kwartaal 2023,Despite strikes: sales Ahold Delhaize increased in first quarter 2023
Stakingen bij Albert Heijn voorbij na geslaagde onderhandeling: werknemers in de distributiecentra krijgen 10 procent opslag,Strikes at Albert Heijn passed after successful negotiation: employees in the distribution centres get 10 percent storage
Groen richt zijn pijlen op de grote vervuilers: “Het moet gedaan zijn”,Green points its arrows at the big polluters: It has to be done.
Kinderen doen eerste communie in een tent in plaats van in de kerk na ruzie met de pastoor: “We zijn verbannen uit onze kerk”,Children do first communion in a tent instead of in the church after arguing with the pastor: We are banished from our church.
"“Altijd 500 euro verschil tussen werken en niet werken”, bepleit ledencongres Open VLD","""Always 500 euros difference between works and non-working', advocates member congress Open VLD"
CD&V wil 10.000 extra plaatsen en maximumprijs in kinderopvang,"CD&V wants 10,000 extra places and maximum price in childcare"
Bart moet lijdzaam toekijken hoe oplichters zijn identiteit stelen: “Ik sta machteloos”,"Bart has to sit back and watch crooks steal his identity: ""I'm powerless"""
Na treinongeluk: parket vraagt mensen voorzichtiger te zijn bij verspreiden van beelden,After train accident: parquet asks people to be more careful when spreading images
Waarom N-VA plots resoluut zijn vizier op het federale niveau richt,Why N-VA suddenly firmly targets its sights at the federal level
PS wijst voorstel De Wever over minikabinet af: “Heeft geen enkele zin”,"PS rejects De Wever's proposal on mini-kabinet: ""Has no sense whatsoever"""
Inlineskater rijdt over brugboog aan Sportpaleis en doet achterwaartse salto: “Probeer dit niet thuis”,Inlineskater drives across bridge to Sportpaleis and does backwards flip:..Try this not home..........................................................................................................
Bestuurder vlucht weg bij politiecontrole en crasht tegen kapsalon: video toont hoe arrestatie uit de hand loopt,Driver flees police control and crashes into hairdressing salon: video shows how arrest gets out of hand
‘Niets is zo rustgevend als een kat op je buik’,Nothing is as soothing as a cat on your belly.
"Fietser sterft bij aanrijding, bestuurster werd vermoedelijk onwel nadat ze door haar werkgever naar huis was gestuurd","Cyclist dies in collision, driver is believed to be unwell after being sent home by her employer"
"Vandalen slaan toe aan meerdere Delhaize-supermarkten, bedrijf dient klacht in","Vandals strike multiple Delhaize supermarkets, company lodges complaint"
"Bestelwagen brandt uit in Deurne, politie onderzoekt mogelijke brandstichting","Order cart burns out in Deurne, police investigates possible arson"
Zijn bijnaam had hij niet zomaar: leerkracht basisschool geschorst na klacht over seksueel overschrijdend gedrag,He didn't just have his nickname: teacher elementary school suspended after complaint about sexually transversal behavior
Ook op kabinet Jan Jambon werkte jarenlang medewerker die door Bpost betaald werd: “We gaan dat loon terugbetalen”,Also on Jan Jambon cabinet worked for many years employee who was paid by Bpost: We are going to repay that wage.....................................................................................................................................................
Bart De Wever onthult zijn strategie voor de verkiezingen: “Na 2024 snel een minikabinet vormen met PS”,Bart De Wever reveals his strategy for the elections: After 2024 quickly form a mini-kabinet with PS.
Gerecht valt binnen bij Happy Doggy: onderzoek naar grootschalige zwendel met puppy’s,Court of First Instance invades Happy Doggy: research into large-scale puppy scams
Op paar maanden tijd 100 extra trajectcontroles actief en één provincie spant de kroon,At a few months time 100 additional trajectories active and one province woods the crown
DE STEMMEN VAN ASSISEN. Ze rouwden elk om hun vermoorde kind. En dan bracht het lot Stefan en Vivian samen,THE VOTES OF ASSISES. They each mourned their murdered child. And then fate brought together Stefan and Vivian.
Na windmolens en zonnepanelen nu ook ‘energieheuvels’,"Following windmills and solar panels, the energy mounds are now also used."
Onderzoek gestart na verdacht overlijden in Charleroi,Investigation initiated after suspicious death in Charleroi
Muziekmagazine Rolling Stone zet Gustaph in top 5 voor Eurovisiesongfestival,Music magazine Rolling Stone puts Gustaph in top 5 for Eurovision Song Contest
Jongeren getuigen over zelfverwonding: “Ik heb te lang gewacht. Doe dat alsjeblieft niet”,Young people testify about self-injury: I've waited too long. Please don't do that.
"Neen, de pensioenen zijn niet rechtvaardig verdeeld: “Maar dit verschil zal de komende jaren wel verkleinen”","No, pensions are not distributed fairly:..........................................................................................................................................................................................................................................................."
Jongeren starten steeds vroeger met zelfverwonding: “Dit is geen randfenomeen meer”,Young people start with self-injury in the past: This is no longer a random phenomenon.
Nederlandse vrouw bevalt van kindje op autosnelweg door file,Dutch woman gives birth to child on motorway through traffic jams
Chaos en naijver deed de linies aan Bachmoet breken: Oekraïne profiteert maximaal van onenigheid onder Russische fracties,Chaos and zeal broke the lines to Bachmoet: Ukraine benefits maximum from disagreement among Russian groups
Nieuwe foto’s gepubliceerd van Charles en Camilla en troonopvolgers,New photos published by Charles and Camilla and heirs
Vliegend object komt Pools luchtruim binnen vanuit Wit-Rusland: wellicht spionageballon,Flying object enters Polish airspace from Belarus: perhaps spy balloon
Hoe Trump een grote rol kan spelen in de oorlog in Oekraïne,How Trump can play a major role in the war in Ukraine
Russische helikopter en gevechtsvliegtuig neergestort nabij Oekraïense grens: video die circuleert laat zien hoe helikopter in de lucht ontploft,Russian helicopter and fighter plane crashed near Ukrainian border: video circulating shows how helicopter explodes in the air
Erdogan belooft op televisie vreedzame transitie als hij verkiezingen verliest: “Ik zal doen wat democratie vereist”,Erdogan promises peaceful transition on television when he loses elections:..I will do what democracy requires.....................................................................................................................................................
Moeder wint juridische strijd met McDonald’s over “te hete” kipnugget,"Mother wins legal battle with McDonald's over ""hot"" chicken nugget"
JEUGDCUP NIEUWSBLAD GU15: SK Steenhuffel - KNV Keerbergen 5-1,JUGDCUP NEWSBLAD GU15: SK Steenhuffel - KNV Keerbergen 5-1
Amerikaanse vrouw schuldig aan moord op haar twee “zombie”-kinderen,"American wife guilty of murder of her two ""zombie"" children"
Kroning in Londen krijgt zure nasmaak voor minister uit Papoea-Nieuw-Guinea: Tiktok-video’s van dochter leiden tot ontslag,Kroning in London gets sour aftertaste for Minister from Papua New Guinea: Tiktok video daughters lead to dismissal
Duitsland levert Oekraïne grootste pakket militaire steun tot nu toe: “Zo snel mogelijk einde maken aan deze vreselijke oorlog”,Germany provides Ukraine's largest military support package so far:..............................................................................................................................................................................................................
"Rusland meldt explosies in Loehansk, zes kinderen gewond: “Oekraïne gebruikte nieuwe Britse raket”","Russia reports explosions in Luhansk, six children wounded: Ukraine used new British rocket propulsion"
Egypte bemiddelt wapenstilstand tussen Palestina en Israël,Egypt mediates truce between Palestine and Israel
Dodental bij Keniaanse sekte die zichzelf uithongerde “om Jezus te ontmoeten” stijgt naar 201,"Death in Kenyan sect starving to meet Jesus' death, rising to 201"
"Tesla roept 1,1 miljoen auto’s in China terug wegens mogelijk veiligheidsrisico",Tesla calls back 1.1 million cars in China due to potential security risk
Ruim twintig doden bij busongeval in Zambia,Over 20 deaths in a bus accident in Zambia
Iraanse journalist doodgeschoten op café,Iranian journalist shot to death at café
LIVE. Oorlog in Oekraïne: volg hier alle nieuws over de Russische invasie,LIVE. War in Ukraine: follow here all news about the Russian invasion
Duitse spoorwegen naar de rechter om 50 urenstaking tegen te houden,German railroads to the judge to stop 50 hours strike
Twee Palestijnen doodgeschoten bij Israëlische operatie op Westelijke Jordaanoever,Two Palestinians shot dead in Israeli operation on West Bank
"Confederalisme blijft doel, zegt Theo Francken (N-VA): “Eerst federaal onderhandelen, dan pas op Vlaams niveau”","Confederalism remains a goal, says Theo Francken (N-VA): First federal negotiations, then at Flemish level"
Vijftig prominenten uit hele wereld hekelen vernietiging van Amazonewoud in open brief voor première van voorstelling in NTGent,Fifty prominent people from all over the world denounce destruction of Amazon forest in open letter for premiere of performance in NTGent
Bangladesh evacueert Rohingya-vluchtelingen voor komst van cycloon Mocha,Bangladesh evacuates Rohingya refugees before cyclone Mocha
Soldaten en burgers gedood bij terreuraanval in Pakistan,Soldiers and civilians killed in terror attack in Pakistan
