URL,Title,Summary,Published
https://www.nieuwsblad.be/cnt/dmf20230301_95441481,Child Focus wil eigen versie van ‘Take it down’ tegen verspreiding naaktbeelden,"<p>Child Focus, de stichting voor vermiste en seksueel uitgebuite kinderen, reageert enthousiast op het Amerikaanse initiatief ‘Take it down’, waarbij online platformen als Facebook, OnlyFans en Pornhub zich ertoe verbinden om expliciete beelden van minderjarigen te verwijderen als die circuleren op hun platformen. “De industrie moet haar verantwoordelijkheid opnemen.”</p>","Wed, 01 Mar 2023 15:53:14 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_95344391,Lufthansa plant dubbelbed in vliegtuigen,"<p>De Duitse luchtvaartmaatschappij Lufthansa introduceert vanaf 2024 een nieuw luxeproduct op langeafstandsvluchten: een volledig afsluitbare suite voor twee personen, met mogelijkheid om een dubbelbed te ontvouwen. Zustermaatschappij Brussels Airlines heeft geen plannen in die richting.</p>","Wed, 01 Mar 2023 15:39:14 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_95225250,Amerikaanse farmareus Eli Lilly verlaagt insulineprijs drastisch,<p>Het Amerikaanse farmabedrijf Eli Lilly gaat de kostprijs van zijn meest voorgeschreven insulines met 70 procent verminderen. Dat heeft het bedrijf woensdag aangekondigd. Eli Lilly zegt met de ingreep insuline toegankelijker te willen maken voor iedereen. </p>,"Wed, 01 Mar 2023 15:18:04 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_94438190,Storingen bij Twitter lijken van de baan,"<p>De storingen bij sociale netwerksite Twitter lijken opgelost. Woensdagochtend bleken heel wat gebruikers wereldwijd storingen te melden, rond 13.45 uur lijken ze alvast in ons land opgelost te zijn.</p>","Wed, 01 Mar 2023 14:19:21 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_94757136,TikTok gaat minderjarigen waarschuwen na uur kijken,"<p>De Chinese app voor korte video’s TikTok gaat in de komende weken een automatische timer invoeren die minderjarige gebruikers na 60 minuten een waarschuwing stuurt. Ze moeten dan hun paswoord invoeren om verder te kunnen kijken, zo meldt het bedrijf.</p>","Wed, 01 Mar 2023 14:11:11 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_94638740,Only Fans-bedrijf moet meer btw betalen en dat zullen de gebruikers voelen,"<p>Fenix International, het moederbedrijf van Only Fans, is op de vingers getikt door het Europees Hof van Justitie. Het bedrijf is meer btw verschuldigd aan de Britse overheid dan dat het tot nu toe betaalde. En dat zal in de praktijk vooral door de gebruikers gevoeld worden. </p>","Wed, 01 Mar 2023 13:53:05 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_94483632,Prijsverhoging van Durex-condooms schrikt klanten af,"<p>Het moederbedrijf van condoommerk Durex, Reckitt Benckiser, gaat een uitdagend jaar tegemoet. De prijsverhogingen van de afgelopen tijd lijken consumenten af te schrikken, meldt de Britse groep. De prijsverhogingen waren nodig om de hoge inflatie en gestegen grondstofkosten op te vangen. Desondanks denkt het bedrijf de winstgevendheid licht te kunnen verbeteren.</p>","Wed, 01 Mar 2023 13:26:16 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_94385159,Staking uitgebroken in versdepot van Delhaize,<p>In het distributiecentrum voor verse producten van Delhaize in Asse is een staking uitgebroken. Dat meldt De Tijd en de warenhuisketen bevestigt het nieuws.</p>,"Wed, 01 Mar 2023 13:09:27 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_93408878,Belgische wijnboeren hadden recordjaar,"<p>Nooit was de Belgische wijnproductie zo groot als in 2022, zo meldt de federale overheidsdienst Economie. Tegenover het slechte jaar 2021 verdubbelde de productie tot 3 miljoen liter. Het vorige recordjaar was 2018 met 2 miljoen liter.</p>","Wed, 01 Mar 2023 10:23:16 +0100"
https://www.nieuwsblad.be/cnt/dmf20230301_93132906,Dan toch geen gratis water in Waalse horeca: “Gratis bestaat niet”,"<p>De belofte van de Waalse regering uit haar beleidsverklaring van 2019 om de horeca te verplichten gratis water te voorzien voor klanten, wordt niet nagekomen. Dat schrijft La Libre.</p>","Wed, 01 Mar 2023 09:36:04 +0100"
